date,close,volume,open,high,low
07/14/2026,$17.52,"1,747,609",$16.97,$17.755,$16.77
07/13/2026,$17.40,"2,419,088",$17.32,$17.71,$17.02
07/10/2026,$16.99,"1,423,238",$17.33,$17.44,$16.76
07/09/2026,$16.98,"2,912,196",$16.85,$17.28,$16.67
07/08/2026,$17.34,"3,399,168",$17.69,$18.00,$16.855
07/07/2026,$18.06,"3,348,651",$18.64,$18.87,$18.04
07/06/2026,$18.14,"2,623,936",$17.47,$18.26,$17.33
07/02/2026,$17.75,"3,384,399",$17.22,$18.11,$17.22
07/01/2026,$17.15,"3,872,621",$16.82,$17.65,$16.53
