date,close,volume,open,high,low
07/14/2026,$53.69,"530,959",$52.22,$54.53,$51.7516
07/13/2026,$54.54,"996,861",$53.09,$55.73,$52.745
07/10/2026,$52.17,"582,793",$53.61,$54.00,$51.56
07/09/2026,$52.33,"749,082",$50.10,$52.85,$49.18
07/08/2026,$51.97,"856,622",$52.16,$53.00,$51.61
07/07/2026,$52.96,"797,765",$52.99,$53.37,$52.32
07/06/2026,$51.54,"635,889",$51.30,$52.03,$50.7672
07/02/2026,$51.93,"712,028",$50.79,$52.59,$50.76
07/01/2026,$50.79,"1,605,069",$50.00,$52.10,$49.745
