date,open,high,low,close,adj_close,volume
2024-07-08,516.5700073242188,519.7999877929688,515.5599975585938,516.4299926757812,516.4299926757812,164972400
2024-07-09,515.5999755859375,516.469970703125,511.1300048828125,511.760009765625,511.760009765625,199253600
2024-07-10,511.8699951171875,516.530029296875,511.8699951171875,516.4199829101562,516.4199829101562,175809400
2024-07-11,517.3599853515625,520.6199951171875,516.8599853515625,519.510009765625,519.510009765625,157804100
2024-07-12,519.75,524.75,519.75,524.0800170898438,524.0800170898438,142881400
2024-07-15,522.8699951171875,524.0800170898438,518.6400146484375,518.72998046875,518.72998046875,134326800
2024-07-16,517.780029296875,517.780029296875,515.4000244140625,517.2999877929688,517.2999877929688,143538800
2024-07-17,516.3200073242188,516.4299926757812,512.7899780273438,514.8300170898438,514.8300170898438,167887500
2024-07-18,515.8599853515625,518.280029296875,514.010009765625,514.010009765625,514.010009765625,158938200
2024-07-19,513.0499877929688,513.0499877929688,509.6199951171875,510.0299987792969,510.0299987792969,163072700
2024-07-22,511.2300109863281,516.760009765625,511.2300109863281,514.7899780273438,514.7899780273438,192642000
2024-07-23,515.239990234375,518.030029296875,513.5800170898438,515.469970703125,515.469970703125,206461500
2024-07-24,513.6500244140625,513.9400024414062,510.760009765625,512.2999877929688,512.2999877929688,165132800
2024-07-25,510.2300109863281,510.2300109863281,503.7799987792969,508.6300048828125,508.6300048828125,217161900
2024-07-26,508.239990234375,513.3599853515625,508.2300109863281,512.8300170898438,512.8300170898438,149444700
2024-07-29,513.6799926757812,515.6500244140625,511.4800109863281,511.7900085449219,511.7900085449219,151500800
2024-07-30,512.6599731445312,515.780029296875,512.1900024414062,514.0800170898438,514.0800170898438,163083100
2024-07-31,514.280029296875,519.4199829101562,514.280029296875,518.1799926757812,518.1799926757812,191950300
2024-08-02,509.8900146484375,509.8900146484375,496.8599853515625,497.8500061035156,497.8500061035156,277542400
2024-08-05,493.4800109863281,493.4800109863281,479.8299865722656,487.04998779296875,487.04998779296875,340070800
2024-08-06,489.2900085449219,491.92999267578125,484.4100036621094,488.44000244140625,488.44000244140625,250044700
2024-08-07,490.1499938964844,497.25,489.75,495.9599914550781,495.9599914550781,196906400
2024-08-08,495.1300048828125,496.8800048828125,490.0199890136719,496.3699951171875,496.3699951171875,164379900
2024-08-09,497.4599914550781,501.2900085449219,496.3800048828125,499.19000244140625,499.19000244140625,157499900
2024-08-12,499.79998779296875,501.5400085449219,498.19000244140625,499.0799865722656,499.0799865722656,228381700
2024-08-13,499.82000732421875,501.7300109863281,497.57000732421875,501.6600036621094,501.6600036621094,130957400
2024-08-14,502.05999755859375,504.17999267578125,502.05999755859375,504.1000061035156,504.1000061035156,135989000
2024-08-15,504.8500061035156,510.5,504.3599853515625,509.8800048828125,509.8800048828125,164675200
2024-08-16,510.54998779296875,512.5599975585938,509.95001220703125,511.45001220703125,511.45001220703125,143229500
2024-08-19,511.4200134277344,515.4600219726562,510.9800109863281,514.5900268554688,514.5900268554688,155311100
2024-08-20,514.72998046875,515.780029296875,512.1799926757812,512.27001953125,512.27001953125,126732600
2024-08-21,512.4400024414062,514.6500244140625,512.3200073242188,513.9500122070312,513.9500122070312,149465800
2024-08-22,514.239990234375,517.280029296875,514.239990234375,515.739990234375,515.739990234375,147796100
2024-08-23,516.1199951171875,518.72998046875,515.8599853515625,518.1300048828125,518.1300048828125,129478200
2024-08-26,518.219970703125,518.9500122070312,517.5700073242188,518.0499877929688,518.0499877929688,66324800
2024-08-27,518.3099975585938,519.9199829101562,517.72998046875,518.8800048828125,518.8800048828125,162515000
2024-08-28,519.489990234375,521.7899780273438,519.489990234375,520.5999755859375,520.5999755859375,133897100
2024-08-29,520.7899780273438,524.75,520.7899780273438,524.5700073242188,524.5700073242188,148180000
2024-08-30,524.530029296875,526.6599731445312,524.530029296875,525.0499877929688,525.0499877929688,244291200
2024-09-02,524.8300170898438,525.0399780273438,521.8800048828125,524.9400024414062,524.9400024414062,117193700
2024-09-03,525,525.5999755859375,519.1799926757812,519.8400268554688,519.8400268554688,201780000
2024-09-04,516.8800048828125,516.8800048828125,513.27001953125,514.8200073242188,514.8200073242188,162179100
2024-09-05,514.1300048828125,515.3800048828125,512.0499877929688,512.0499877929688,512.0499877929688,163451500
2024-09-06,511.2200012207031,514.0900268554688,506.1099853515625,506.55999755859375,506.55999755859375,174344900
2024-09-09,507.3900146484375,511.9100036621094,507.3900146484375,510.70001220703125,510.70001220703125,139516200
2024-09-10,510.69000244140625,512.280029296875,507.1000061035156,507.95001220703125,507.95001220703125,173871600
2024-09-11,508.2799987792969,511.5400085449219,506,508.0199890136719,508.0199890136719,179278100
2024-09-12,510.70001220703125,514.530029296875,509.6300048828125,512.0800170898438,512.0800170898438,239934500
