date,close,volume,open,high,low
07/14/2026,$41.37,"1,926,650",$41.26,$42.5499,$40.75
07/13/2026,$42.86,"2,183,690",$41.97,$43.00,$41.71
07/10/2026,$41.36,"1,877,510",$41.51,$41.81,$40.79
07/09/2026,$40.52,"2,092,642",$38.18,$40.55,$37.57
07/08/2026,$39.30,"1,723,210",$39.89,$40.52,$38.7717
07/07/2026,$40.68,"2,091,369",$41.20,$41.52,$40.30
07/06/2026,$40.23,"1,865,667",$39.90,$40.67,$39.575
07/02/2026,$40.48,"2,817,623",$38.85,$40.83,$38.85
07/01/2026,$38.78,"3,752,638",$37.00,$39.57,$36.89
