week_end,ALBFR.PA,BL,BILL,NCNO,WK,^FCHI,^GSPC,^IXIC,^STOXX
2024-07-19,0.028170876966696224,-0.02575070932015445,0.04482494103273619,0.01957747814679908,-0.030599375753974586,-0.024878640341524923,-0.019847166500595655,-0.03718089396484895,-0.02717483190849499
2024-07-26,0.0749013081731177,0.022201974123074262,-0.014656383388881195,0.04762809059989693,0.033152213068613906,-0.002237526814319649,-0.008372811280765004,-0.021038854040007146,0.005474894435584376
2024-08-02,-0.007762005335489189,-0.048194357069484245,-0.12183726431025318,-0.06433977628638858,-0.03176593471572448,-0.036007916126300894,-0.020830584488164793,-0.03408779116613728,-0.029645600466095625
2024-08-09,0.05310982531394833,0.12543418613506527,0.003628179641226805,0.020456975195545256,0.03310703863035248,0.0024667084374126263,-0.00044896926228238664,-0.0018411717660567677,0.0026879506001858044
2024-08-16,0.009804000096620835,-0.001937580008198915,0.045396100927298955,0.06453861769338193,0.04686100392563197,0.024457393924049615,0.038558995331668955,0.051581923968714555,0.024263063076485705
2024-08-23,0.09309042306601203,-0.0142594372238798,-0.03691065478479807,0.021953461195231005,0.01824686300588479,0.016948837883106416,0.01436451006458205,0.013859515371921736,0.012976332677338566
2024-08-30,-0.11778303565638351,-0.025504522103289056,0.14194543139642443,-0.1554849333987179,-0.018630552723882504,0.007089744434707742,0.002444391384089619,-0.009225321193496441,0.013267287454876793
2024-09-06,0.009950330853168092,-0.03344932978209543,0.009122485950683224,0.0029995075015205323,-0.06719441042004157,-0.03719920878048151,-0.043415317921877306,-0.059474315188047994,-0.03585070102966048
2024-09-13,-0.009950330853168092,0.0426900362716523,-0.05891207775651174,-0.022208175928711278,0.022190154474837923,0.015245757169480184,0.03944528445461394,0.05779970000913912,0.018367113347985294
2024-09-20,0.06297479916138839,0.0386360685386212,0.044275829397339476,0.03510309087457989,0.05758950413345605,0.004678735310531968,0.01351114051560299,0.014837363145943314,-0.0032808920925420093
2024-09-27,0.0724298378448145,0.016598663037555916,-0.020104884743589242,0.027541036402128634,0.016537581066346327,0.03813296491252145,0.006226921580973474,0.009497130153512147,0.026518826614228778
2024-10-04,-0.04465027373773882,0.03092645683991766,0.04288076291145459,-0.01027961512641335,-0.00936277944465638,-0.03266810129315786,0.0022455633357013026,0.0010072287201820331,-0.018192085057552234
2024-10-11,0.013605652055778678,0.027681597521556404,0.005569068176163012,0.108230116658997,-0.008059570389913144,0.004832295850996986,0.011060014193616243,0.011243835986186642,0.006573500869577174
2024-10-18,0.008968669982760316,0.05028456622259748,0.03433739507603799,0.058252604546090915,0.03026194950694432,0.0046290395311694675,0.008500293134096656,0.007961020366371563,0.005749960634858307
2024-10-25,0.017699577099400857,-0.040871500068030225,-0.05332701056351654,0.03360079402823433,-0.034189205687534044,-0.0152888824121277,-0.009689242573923885,0.0015703887790772418,-0.011841473388302156
