company,ticker,price_2026_07_15,shares,shares_as_of,market_cap,gross_debt,debt_as_of,debt_to_equity,tax_rate,levered_beta,unlevered_beta,sensitivity_levered_beta,sensitivity_unlevered_beta,debt_note,sec_accession
BlackLine,BL,29.450000762939453,58660917,2026-04-30,1727564050.404728,666728000,2026-03-31,0.38593532890650345,0.25,0.7197199860009399,0.5581597972890789,0.4857181907185332,0.37668589471506025,Convertible debt + finance leases,0001628280-26-032255
BILL,BILL,44.68000030517578,99596727,2026-04-30,4449981792.754509,1834854000,2026-03-31,0.41232842862133096,0.25,1.5271244714938006,1.1664149415244018,1.0028829189141424,0.7660001807690302,Long-term debt carrying amount (includes convertible debt),0001628280-26-032387
nCino,NCNO,17.790000915527344,109552950,2026-05-22,1948947080.7987213,313707000,2026-04-30,0.16096229758656966,0.25,1.550001087597493,1.3830383185450368,1.049477803332901,0.9364303212984545,Long-term debt + finance leases,0001902733-26-000066
Workiva,WK,54.33000183105469,56885568,2026-03-31,3090593013.600586,781634000,2026-03-31,0.2529074506285074,0.25,0.7365002591919165,0.6190739486199249,0.5112749376611693,0.42975815763539105,Convertible debt + finance leases; shares = Q1 basic weighted average,0001445305-26-000045
